,Doctor,Review,5
10,Stephen J. Snyder| MD,�Dr. Snyder is a fantastic person and a great doctor. He still has the compassion and concern for his patients that a lot of the young Doctors failed to learn. We went over the choices of surgeries for by Bicep tendon| and Dr. Snyder was able to make the repairs that I wanted.�,5
11,Stephen J. Snyder| MD,�Dr. Snyder has operated on both my shoulders. I could not ask for a better experience either time.�,4
12,Harpreet S. Bawa| MD,�I love Dr. Bawa! He has genuine care and concern for his patients. Not only did he check on me during my stay in the hospital| but he also called me personally once I was released-- to make sure I was ok and to see if I had any questions. I'm so fortunate to have found such an excellent surgeon!�,5
13,Richard D. Ferkel| MD,�Exactly one year ago today| in a random act of kindness. Someone reached out to me and offered me the use of this scooter. After 3 days of juggling food| drinks| and crutches from my kitchen back to my bed (usually catastrophically) my life was made much easier and getting around much safer. It wasn�t made out of carbon fiber| didn�t have aero wheels or aero handlebars| but it got me where I needed to be. God is good!!! I could actually wiggle my toes again and the pain level was gradually diminishing. My follow up appointment was in a few days| and I was looking forward to the healing process and eventually getting back in the saddle. A very special thank you to Margot Botello Shinn for her kindness and generosity. The longus tendon ruptured during the Race Across America in June 2018 and it took the insurance company two months to approve the tests and procedures to perform the necessary surgery to repair the damage. By that time| the tendon was garbage (surgeon's exact words) and was unsalvageable. Fortunately for me| I was referred to one of the best| if not the best foot and ankle specialist in the country. Dr. Ferkel was able to remove the damaged portion and attach the remaining length to the brevus tendon| clean out all the scar tissue| and tidy up and stabilize the entire joint. Prior to surgery| he asked me what my postsurgical goals were. I told him in no uncertain terms that I had some races to win| and one or two more records to set. He just looked at me and grinned and then walked out the door. Then he stopped| turned around and said to me| �let�s make it three.� I knew that I was in the right hands!!! My surgery was on August 29th| 2018. On August 25th| 2019 (361 days after that operation) my team set a new record for the HooDoo 500. One down| two to go!!! To Dr. Richard Ferkel| the miracle that you performed for me| will forever be a reminder of the hours and the meticulous detail and effort that you gave to me and all your patients. God Bless�,5
14,Nickul S. Jain| MD,�Dr. Jain was extremely thorough with diagnosing our son�s football injury. Although the outcome wasn�t what we wanted to hear he was truthful and blunt about treatment. We appreciate his kindness| concern| and care he showed our son.�,5
15,Nickul S. Jain| MD,�Very satisfied and feel like I am in good hands.�,5
16,Karl R. Balch| MD,�Positive overall with partial knee now at eight week�s post-op. Got through physical therapy. Have better balance with neurological problems because knee swelling reduced the healing effect of living. With the swelling cut| good things may happen. Life is good| thanks| Dr. Balch.�,5
17,Jaime D. Hernandez| MD,�I met with Dr. Hernandez a year and a half later to discuss knee replacement and when I mentioned my left hip was hurting| he immediately did an x-ray and it turns out I needed a hip replacement as well. We decided together that the hip replacement should be done before the knee replacement. I am looking forward to having Dr. Hernandez as my surgeon. Highly recommended by patients and doctors.�,4
18,Jaime D. Hernandez| MD,�All of SCOI�s staff and doctors have shown me such professionalism thought my appts and surgery. I mainly felt that the pre-op appt and day-surgery were very informative. Nurses and Doctors we�re kind and explained what was happening every step of the way.�,5
19,Karl R. Balch| MD,�This has been the most comfortable surgery I've ever had| not that I've had many| but just saying. The doctor and staff have been great| and there have been no surprises| which I like. All in all| I would recommend SCOI| Dr. Balch| and hip replacement surgery to anyone who is contemplating doing it.�,5
20,Karl R. Balch| MD,�Our experience with Dr. Balch was fantastic! He has an excellent bedside manner. Before the day of surgery| Dr. Balch told us everything that would happen. Surgery went just as he said it would and the timeline was within 5 minutes of how long the procedure would take. Dr. Balch made us feel entirely at ease with the entire process. He answered every question entirely| and in terms we understood.�,5
21,Karl R. Balch| MD,�The nurse and Dr. Balch are very kind.�,5
22,Jaime D. Hernandez| MD,�The anterior hip replacement went very smoothly. Everything explained| and follow-up was consistent so that the procedure was successful.�,5
23,Jaime D. Hernandez| MD,�At my initial appointment consultation| I met with my surgeon Doctor Jaime Hernandez. Doctor Hernandez listened attentively| addresses and answered all my questions and concerns thoroughly. I knew I had met with the surgeon that would provide with not all only the best options for my particular situation. More importantly| he presented me with such clarity and made my decision to have him perform my right knee replacement surgery.�,4
24,Jaime D. Hernandez| MD,�I am delighted with my experience. Every single person on your staff was terrific| and the system worked flawlessly. I was tended to and kept comfortable at all times. Thank you!�,5
25,Jaime D. Hernandez| MD,�In November| I had my second hip replacement procedure by Dr. Hernandez. The care I received before the surgery and after the operation was excellent. All the attention that I received from Dr. Hernandez and staff was excellent.�,5
26,Jaime D. Hernandez| MD,�Very happy with your prompt and efficient service.�,5
27,Jaime D. Hernandez| MD,�Dr. Hernandez is the best! Love this man; he gave me back my life| he and his staff are so professional and organized everything went like clockwork. I recommend Dr. Hernandez all the time!�,5
28,Jaime D. Hernandez| MD,�Great Doctor and staff| care were five stars before and after surgery! Results of the operation were better than I expected! My mobility is back| and I do not have to use a cane to get around! I will refer Doctor Hernandez & SCOI to my friends and family for their orthopedic needs! Could not be happier with my results! Thank you to the Doctor & Staff!�,1
29,Jaime D. Hernandez| MD,�I have no complaints about the care I received from Dr. Hernandez. I found him informative| professional and overall very much a patient advocate. My overall perioperative experience has been excellent.�,5
30,Jaime D. Hernandez| MD,�Professional| knowledgeable| talented and skilled.�,5
31,Jaime D. Hernandez| MD,�Dr. Hernandez has a fantastic attitude| both humorous and caring. His straightforward honesty was a breath of fresh air| he told me what I needed what to expect and did it all with humor a great skill. I don�t look forward to surgery but when it�s time for my left knee I will be returning to Dr. Hernandez and the fantastic staff at SCOI.�,5
32,Jaime D. Hernandez| MD,�Dr. Hernandez is an excellent doctor who knows exactly what he is doing and knows what his patients need each time. His division of labor and collaboration among his colleagues and medical personnel is worthy of emulation. I admire his courage| empathy and hard work.�,5
33,John L. Etcheverry| DPM,�I am a patient of Dr. Etcheverry. I have been a law enforcement supervisor and adminstrator for many years. I have been responsible for the hiring| terminating| evaluating and training staff that were non-sworn| such as records| dispatch| and community service officers. I am not in the habit of giving empty compliments where they are not earned. I would like to give you and the staff of Dr. Etcheverry's office my heartfelt compliments on their job performance. Everyone I spoke with smiled| and was attentive. When I was having a conversation with anyone in the office or surgery center each person made eye contact with me. Our conversations were articulate and intelligent leaving me completely knowledgeable and satisfied that my needs were taken care of. What a pleasure to talk with someone without a cell phone in their hand or otherwise distracted. I recognize professionalism when I see it. I requested a form to be completed and Anna told me she would have it done in a half hour and sent. For a moment| I thought I passed out and was hallucinating. Unfortunately| I can not remember all of the staff members names| especially those in the new office. Please extend my thanks and compliments to all!�,5
34,Stephen J. Snyder| MD,�Dr. Snyder was great.�,5
35,Jaime D. Hernandez| MD,�Dr. Hernandez was a super surgeon and the hospital staff were great| comforting| and always there for me. I had a complete knee replacement. Now| months out| I�m doing better.�,5
36,Stephen J. Snyder| MD,�Dr. Snyder is excellent. No complaints at all.�,4
37,Carlos A. Guanche| MD,�I just want Dr Carlos Guanche to know that on Sunday Feb 25| I completed a 102 mile bicycle ride from Santa Ana to San Diego| exactly 179 days after he performed total hip replacement on me. Thanks from this 64 year old man for giving me my life back.�,5
38,Richard D. Ferkel| MD,�I am a retired camera-woman for the news. I worked at KABC channel 7 for 38 years. My job was basically that of a football player without the protective gear. I am writing this letter to share my wonderful experience at SCOI| Southern California Orthopedic Institute| namely| Dr. Richard Ferkel and Natalie Ray. I injured my left shoulder in 2004 in 2013 and again in 2015 at work. In 2004| I was pushed by a camera person from a French company while covering Arnold Schwarzenegger and then Governor| Gray Davis. When covering a campaign| the normal drill is that you run ahead of the candidate| stop shoot them| let them get in front of you and run again to catch up to them to shoot them coming towards the camera. While running| a French still photographer pushed me out of the way| I had a 35 pound camera on my shoulder; I went crashing into the sidewalk and hit the concrete with my left shoulder and gashed my right knee. I went to the Kerlin-Jobe clinic. Because of their reputation| I thought I would be getting the best medical help for my shoulder and knee available. This proved not to be the case. I was told by the physician that attended me that my only option was to have surgery. I was also told that they would prefer not to deal with Workmen�s Comp. Since I got hurt on the job it did not make sense not to be covered by Workmen�s Comp. I was trying to get my 40 years of work in with the company so I went back to work| no surgery nor competent physical therapy. In the year 2013 I damaged my left shoulder again while shooting the flight of the NASA shuttle to Los Angeles. The crowd was very rowdy and pushed me in such a way that the camera| which was on a tripod| jammed into my shoulder. I had to find an orthopedic doctor again. I was lost as to what direction to take in picking a doctor. My husband�s best friend| Jim Knutsen has a sister who had been treated by Dr. Ferkel. Since I trusted Jim| I trusted the glowing recommendation from his sister Janet. She said Dr. Ferkel was the best orthopedic doctor she had ever come across� She was right! I was blessed to find Dr. Ferkel. I went to SCOI In 2013. Doctor Ferkel was very thorough and went through all my options. I elected to get a treatment of physical therapy and a series of shots that helped my arm heal. I was still trying to get my 40 years in| with the help of Dr. Ferkel| I was able to get a few more years in. In 2015 I had a very bad fall from the side of my truck when my mini-cam truck caught fire. It was a traumatic fall that injured my right shoulder| and re-injured my left shoulder| my right ankle and my back. The injuries I sustained resulted in two torn rotator cuff�s & other miscellaneous injuries in the shoulders. I basically had two shoulder reconstructions. Dr. Ferkel has not only been thorough but kind and extremely patient with my care. I was still trying to get my 40 years in. Unfortunately| Workmen�s Comp. delayed delayed and delayed authorization for my treatments and my company was forced to terminate my position because I had �timed out�. I had been an excellent National Emmy award winning camera person and a valued employee at KABC. Workmen�s Comp. has not been professional but the doctor has hung in there with me and has gotten me the care that I needed. About a year and a half ago| my case manager for Workmen�s Comp. wrote a scathing letter to the Insurance company that covers my care. What she did was commit fraud because she used my name and made it sound like it was from me. I would never have written such a letter because none of what she wrote was true. This is what I have been subjected to with Workmen�s Comp. I wanted to get back to work but the Workmen�s Comp. people made it impossible by delaying authorizations for my care. Through all this... Dr. Ferkel & Natalie Ray stood by me and made sure I received the medical care| physical therapy and appointments that I have needed. My medical needs were first and foremost to Dr. Ferkel and to Natalie. After both surgeries| I needed a �cooling machine� for my shoulders. Doctor Ferkel made sure I got it and that it was delivered to my home. Workmen�s Comp. did not want to authorize this piece of equipment. I want to say that it was the one piece of equipment that took me through the process. I was in severe pain and I would have required more pain medication had I not had the �cooling machine�. I don�t know it�s technical name but I call it a lifesaver. Natalie Ray has been a tremendous part of my recovery. Natalie was indispensable to me through this process. Natalie has been kind| patient| knowledgeable and helpful. I could write three pages alone on Natalie. She is the most professional and hard-working medical professional I have ever seen. Natalie is truly a �feather� in SCOI�s hat. Again| let me finish by saying that this has been the most difficult time of my entire life. Never did I think I would have to endure such painful injuries. Dr. Ferkel has given me new hope and life. I thank God for SCOI but especially for Dr. Ferkel. I would and do recommend Dr. Ferkel to anybody who needs shoulder or feet/ankle medical care. I have already recommended the doctor to a few of my friends. I have many friends that are camera people and as it turns out| there are a lot of shoulder injuries out there� God bless Dr. Ferkel| thank you for your incredible effort and care of my shoulders and ankle.�,1
39,Ronald P. Karzel| MD,�Dr. Karzel and stall were beyond my expectations. Everyone was helpful and professional. Dr. Karzel is an awesome surgeon| with a winning bedside manner. My recovery has been amazing! I would gladly recommend tge doctor|along with his staff| to anyone.�,4
40,Richard J. Spelts| DO| FAAFP,�He always listens to what I have to say & will answer my questions in a way I can understand. Very caring - always tell my friends about my awesome Doctor.�,5
41,Jared A. Niska| MD,�I had a great service with Dr. Niska he did surgery for both of my hands for Carpal Tunnel. I have no more numbness and sleep much better now. He is a very friendly Doctor.�,5
42,Jaime D. Hernandez| MD,"�Dr. Hernandez performed surgery to replace my left hip. At about 2:00 that very same afternoon I left Northridge Hospital with the notion of most likely having to stay bed-ridden for several days so as to recover from the procedure but thanks to the Dr. Hernandez's ""magic touch"" I was not only ambulatory the next day but was able to drive myself to my office to conduct a full day's business and have not missed a day since the surgery. Even better| I only missed four days of walking my dog Kiba on his regular route and pace. What more could I have asked?!�",3
43,David K. Wahba| MD,�Great doctor| honest and direct.�,3
44,Michael S. Bahk| MD,�I have been having trouble with my shoulder| lots of pain when doing certain activities. I workout regularly and try to stay as fit as possible. Dr. Bahk has been very good at explaining what was going on in my shoulder and has given me realistic expectations. He ordered an MRI to be done on my shoulder and found that I have arthritis so he advised that I get a cortisone shot| which I did. I have had a great outcome| very little pain and mobility is excellent. Thanks| Doc.�,4
45,Jaime D. Hernandez| MD,�I went to SCOI because their previous care for my family and me was exceptional. My right hip arthroplasty further exemplifies those previous experiences. During the entire procedure from diagnosis and options through post-operation treatment and counseling| Dr. Hernandez and his support staff were exceptional and focused on my case. Dr. Hernandez| the entire SCOI staff that I enter acted with and the Northridge Hospital staff were superior| in my estimation| because simply they cared for me and my outcome from the procedure. I can honestly say that I have felt NO pain throughout the procedure. I did have some sore muscles| but no pain. My only regret is that I did not have it done sooner.�,5
46,Fadi S. Saied| DO ,�I had a full left knee replacement with Dr. Saied. He and his staff were wonderful especially Maria. I am 100% satisfied with my procedure it has been two weeks ago today and I would recommend anyone with knee problems to see Dr. Saied and his staff. Thank you.�,5
47,Trevor P. Lynch| MD| FACS,�I'm so pleased that I could find the SCOI practice near my home in Santa Clarita. I've been a patient for 20 years with Santa Monica Orthopedic due to my prior residency in West LA. After having moved to SCV| I was driving to Santa Monica (when necessary) for follow-up appointments with my surgeon. Being able to eliminate the grueling drive to the west side is priceless. The SCOI office seems to run very efficiently and the staff are friendly and professional. Dr. Lynch has been both reassuring and realistic about the recovery from my broken wrist in late December (I was fortunate not to require surgery) and I would not hesitate to seek his services for any future health matters that fall under his specialty. And| Arielle (on the physical therapy staff) is fantastic. She listened to my concerns about being able to play guitar again and when I saw her for my next session| she had done specific research on the muscles| tendons and ligaments used to make a barre chord and had a targeted exercise to help me regain strength in my thumb and index finger. She's a true professional. Overall| I would recommend to anyone that lives in SCV requiring orthopedic experts not to hesitate to seek out the services of the Southern California Orthopedic Institute.�,5
48,Jaime D. Hernandez| MD,�Dr. Hernandez is the best| I recommend him highly to everyone I speak with. His professionalism| knowledge and precise approach to both of the surgeries he performed on me were greatly appreciated. I knew every step of the way what to expect before| during and after the surgery. Having both hips replaced with in a 3 month period his expertise has given me back my active life again. His staff and surgical staff are absolutely wonderful| I felt like my hand was held before and through out the surgeries| physical therapy and finally when I was released to enjoy life again. LOVE this man and his staff! and again I would highly recommend him and have to anyone in need of his services. I am a happy| active 65 year old woman with a spring in my step once again because of Dr. Hernandez :)�,5
49,Ronald P. Karzel| MD,�Dr. Karzel fixed a shoulder issue that other orthopedic doctors failed to do. They have become very special in my life and my world. I have returned to my very active life with my new start. Extremely recommended in every way... and Mickey is fun and a bright ray of sunshine in my heart as they all do.�,5
50,Mark H. Getelman| MD,�Dr. Getelman was kind and direct when treating me for a torn ACL and torn meniscus. He told me surgery was the only option and explained why| walked me through what he would do| and a few days later he was true to his word. I was told my surgery took extra time because of the extensive damage to my knee| but I would never have known it because Dr. Getelman and his staff were so helpful and professional. I truly felt like I was in trustworthy and exceptional hands. After surgery with Dr. Getelman I was referred to Physical Therapist Dominic Smith at SCOI. Dominic�s team is incredible and I couldn�t recommend a better group of people to help you mentally and physically recover from surgery. The recovery was rough| but Team Smith provided positive reinforcement and small goals that guided you to long term success. I am extremely thankful for the care and support SCOI provided me.�,1
51,Todd D. Moldawer| MD,�Yesterday I was released by Dr. Moldawer. He performed a three (3) hour spine surgery on me in your hospital. He was the best ... and your administrative staff| health care providers| and support personnel could not have been better. Thank you.�,5
52,Todd Shapiro| MD,�The wait was short and I didn't have any issues.�,5
53,Richard D. Ferkel| MD,�I really want to thank Dr. Ferkel (and Crew) for all for the amazing & wonderful care you provided me. Within a year| you have fixed my knee| foot & shoulder and I am back to a very full work schedule| very demanding & physical| which I could not possibly have sustained & continued without your precision care. I know that I am not special or unique| and that you give everyone| of which there are so many| the same degree of effort & concern. It is quite an operation you all keep up. I just want you to know how much you are appreciated| and how very much you bring to the community. We are very fortunate to have you! From the front desk to the cast room & check out| I hope you all know it really matters and makes a difference that you are able to do such a high volume with such a great level of recovery and success| all the while making all your patients feel important and maintaining such a positive environment in a tough arena where people are suffering and in need of serious help. I cannot thank you enough but hope you all know what a difference and impact you make on people�s lives. THANK YOU�..�,5
54,Michael S. Bahk| MD,�It is with my deepest gratitude that I am writing this. Today| I thoroughly enjoyed myself| working up a good sweat in a Latin dance class. Monday| I worked out with 80 other folks during a 2 hour| Pierce College| Encore class entitled Body Movement. This is the stuff that makes me so very happy| and I wouldn�t be participating in such activities at age 64 if it wasn�t for your knowledge| surgical skill| and human compassion| which you applied as you repaired my damaged left knee�s meniscus in March 2012. Last Year| 2011 Thanksgiving holiday| I knew I injured my knee and lower leg| as I was hiking up in the Cascade Wilderness. By the time I arrived home in Los Angeles| I could barely walk. Having knee support for a few weeks afterward still did nothing to heal my leg| and that�s when I made an appointment with you. Your diagnosis and subsequent meniscus surgery| dramatically improved my quality of life! Before I knew it| on March 1st| I was comfortably in and out of the surgical center within a few hours. From there| following your post-surgical directions| my recuperation went extremely smooth. I truly appreciate the follow up check ups and the time and patience you applied to promote healing as well as answer all of my questions. The prescription for two months of therapy with Nathan and Brian made my recovery even stronger and faster. I learned the proper way to use my body to avoid injury| as well as various exercises to strengthen my leg muscle and core. I still do these at home! This entire experience left me with a feeling of complete respect| gratefulness| and admiration for everyone involved in my healing process. I realize though that the process could never begun without your excellent surgical abilities| concern| confidence| and care! I hope you never change Dr. Bahk. I know how hard you work and how much you travel| yet you are always so positive| knowledgeable| friendly| and confident! Thank you so much for helping me get back to my normal!�,5
55,Michael S. Bahk| MD,�Thanks for showing us that there are doctors in this world that are willing to go above and beyond. Most doctors are in such a hurry that they barely catch your name. Thankfully| that�s not you! We are incredibly thankful for your careful attention to any and every detail regarding my care. We think you rock and you�re truly a class act doctor!�,1
56,Michael S. Bahk| MD,�I wanted to thank you for your knowledge| skill| and expertise as a fabulous surgeon| gifted in the orthopedic field. Thanks to your work and help with my shoulder. The terrible 24/7 pain has been essentially relieved. I cannot relate to you how deeply grateful I am for all you have given back to me! I also appreciate greatly your caring personality in today�s world of medicine. Thank you for making my life easier.�,5
57,Todd D. Moldawer| MD,�I celebrated a birthday a couple of months ago. I am now the ripe age of 80. And my spine still works as well as when you operated on me back in 1988. I do a light workout at a nearby gym three to four days a week| which I�m sure helps my back remain supple and firm in the right places. Last week| I signed up with a trainer to devise a regimen that would help me stay in good shape over the next twenty years or so. The trainer made the statement to me that virtually; all back problems are caused by bad posture. It was than I thought of you and your marvelously executed surgery. I thank you once again.�,5
58,Babak Barcohana| MD,�In April 2011| Amazing first and new technique used for cervical spine fusion. Tantalum implant with amazing results are the best words to describe my surgery. After six months of non-stop tingling and pin sensations in my left arm| it was great to return to a normal life. I tried acupuncture| anti-inflammatory prescriptions| physical therapy| traction| and second opinions from doctors. Dr. Barcohana�s reputation speaks highly for itself amongst physical therapists| nurses| and other orthopedic doctors| who referred you. The ability to walk immediately after surgery and not be bedridden was important with type two diabetes. I am most grateful for the instant results handled by using ice| bone growth stimulator| and a few Tylenol for discomfort or soreness but no major pain. It is a pleasure to have the quality of care and a doctor that thinks outside of the box| to new minimal invasive medical techniques for less pain and quicker healing. Such a great doctor and surgical team that gave me 110% confidence to do the surgery and caring staff to assist me!�,5
59,David M. Auerbach| MD,�Dr. Auerbach is the most excellent physician I have been to. He listened and prescribed the perfect prescription! He is a miracle worker!�,5
60,Babak Barcohana| MD,�This acknowledges how happy I am with the results of the back surgery performed by Dr. Barcohana. Having back surgery involves a time period that begins with a prognosis| which is determined by x-rays and a MRI| along with your analysis. You spend a lot of time with your doctor prior| during| and after the surgery. The confidence that I have in him as both a doctor and a person is more than I have ever had with the many doctors I have seen in my life. His gentle approach to explaining every step made me feel extremely confident and unafraid of the surgery I was going to have. He was right on with how I would feel| along with his prediction of the steps to my recovery. I wake up every morning feeling like I had a back transplant| as my life is getting back to the way I felt prior to my long term back problems. Thank you very much for giving me the quality of life that I had prior to my back problems.�,5
61,Babak Barcohana| MD,�Dr. Barcohana performed surgery on me last month. It was a double discectomy and double fusion and I�m very pleased with the results. I had severe back pain for five years and I want to tell others who are suffering in pain| to not be afraid. You really are in good hands with Dr. Barcohana. I put my fear on hold| having a choice of being in severe pain for the rest of my life or taking a positive chance with a good doctor. I was already in constant pain. So for me| there was nothing to lose. I greatly helped myself by keeping my weight down| walking my dogs daily| taking weight-training classes| and yoga. Even though I hurt all the time| I kept on walking. Although I was in good shape before the operation| it wouldn�t have been successful without my very gifted surgeon| Dr. Barcohana. I highly recommend him. �,5
62,Mark H. Getelman| MD,�Just wanted to let you know how great my knee is doing. I came in January of 2008 with a torn meniscus. I bump skied this year. Thank you again! �,5
63,Babak Barcohana| MD,�I want to express my appreciation for the expertise and care I received from Dr. Babak Barcohana and his staff. I also want to applaud the SCOI facility and organization for the attention I received while preparing and undergoing back surgery| which was on 3/28/11. From the initial consultation| the surgery itself| the aftercare| was all first rate. As all would agree| communication during a time of surgery| especially the obvious fears involved with spinal surgery| this is extremely necessary and important to the patient. Dr. Barcohana and his excellent staff are second to none. In case I forgot to mention| the extreme pain and discomfort I had prior to the surgery is gone. After all| that is what it�s all about! Thanks again| Dr. Barcohana and staff.�,5
64,Todd D. Moldawer| MD,�I wanted to take a minute to say thank you for helping me get my life back by sending me to your wonderful physical therapy department. I have been seeing Brian and Phil. With Brian�s supervision| Phil has spent time helping me relieve my pain and showing me how to strengthen and care for my back. I have no pain and I am slowly going back to my activities. My sincere thanks and compliments to you on employing such competent| friendly| and caring staff. �,5
65,Michael S. Bahk| MD,�I wanted to thank you for your knowledge| skill| and expertise as a fabulous surgeon| gifted in the orthopedic field. Thanks to your work and help with my shoulder. The terrible 24/7 pain has been essentially relieved. I cannot relate to you how deeply grateful I am for all you have given back to me! I also appreciate greatly your caring personality in today�s world of medicine. Thank you for making my life easier.�,5
66,Todd D. Moldawer| MD,�I celebrated a birthday a couple of months ago. I am now the ripe age of 80. And my spine still works as well as when you operated on me back in 1988. I do a light workout at a nearby gym three to four days a week| which I�m sure helps my back remain supple and firm in the right places. Last week| I signed up with a trainer to devise a regimen that would help me stay in good shape over the next twenty years or so. The trainer made the statement to me that virtually; all back problems are caused by bad posture. It was than I thought of you and your marvelously executed surgery. I thank you once again.�,5
67,Babak Barcohana| MD,�In April 2011| Amazing first and new technique used for cervical spine fusion. Tantalum implant with amazing results are the best words to describe my surgery. After six months of non-stop tingling and pin sensations in my left arm| it was great to return to a normal life. I tried acupuncture| anti-inflammatory prescriptions| physical therapy| traction| and second opinions from doctors. Dr. Barcohana�s reputation speaks highly for itself amongst physical therapists| nurses| and other orthopedic doctors| who referred you. The ability to walk immediately after surgery and not be bedridden was important with type two diabetes. I am most grateful for the instant results handled by using ice| bone growth stimulator| and a few Tylenol for discomfort or soreness but no major pain. It is a pleasure to have the quality of care and a doctor that thinks outside of the box| to new minimal invasive medical techniques for less pain and quicker healing. Such a great doctor and surgical team that gave me 110% confidence to do the surgery and caring staff to assist me!�,5
68,David M. Auerbach| MD,�Dr. Auerbach is the most excellent physician I have been to. He listened and prescribed the perfect prescription! He is a miracle worker!�,4
69,Babak Barcohana| MD,�This acknowledges how happy I am with the results of the back surgery performed by Dr. Barcohana. Having back surgery involves a time period that begins with a prognosis| which is determined by x-rays and a MRI| along with your analysis. You spend a lot of time with your doctor prior| during| and after the surgery. The confidence that I have in him as both a doctor and a person is more than I have ever had with the many doctors I have seen in my life. His gentle approach to explaining every step made me feel extremely confident and unafraid of the surgery I was going to have. He was right on with how I would feel| along with his prediction of the steps to my recovery. I wake up every morning feeling like I had a back transplant| as my life is getting back to the way I felt prior to my long term back problems. Thank you very much for giving me the quality of life that I had prior to my back problems.�,5
70,Babak Barcohana| MD,�Dr. Barcohana performed surgery on me last month. It was a double discectomy and double fusion and I�m very pleased with the results. I had severe back pain for five years and I want to tell others who are suffering in pain| to not be afraid. You really are in good hands with Dr. Barcohana. I put my fear on hold| having a choice of being in severe pain for the rest of my life or taking a positive chance with a good doctor. I was already in constant pain. So for me| there was nothing to lose. I greatly helped myself by keeping my weight down| walking my dogs daily| taking weight-training classes| and yoga. Even though I hurt all the time| I kept on walking. Although I was in good shape before the operation| it wouldn�t have been successful without my very gifted surgeon| Dr. Barcohana. I highly recommend him. �,5
71,Mark H. Getelman| MD,�Just wanted to let you know how great my knee is doing. I came in January of 2008 with a torn meniscus. I bump skied this year. Thank you again! �,5
72,Todd D. Moldawer| MD,�I wanted to take a minute to say thank you for helping me get my life back by sending me to your wonderful physical therapy department. I have been seeing Brian and Phil. With Brian�s supervision| Phil has spent time helping me relieve my pain and showing me how to strengthen and care for my back. I have no pain and I am slowly going back to my activities. My sincere thanks and compliments to you on employing such competent| friendly| and caring staff. �,5
73,Babak Barcohana| MD,�I want to express my gratitude to the extraordinary surgery that was performed on my back| which was a lumbar fusion. For thirty years| I had tried different procedures| medications| and other doctors. Still| I was enduring severe pain| especially on my right leg. Today| only after two months since my surgery| I am very pleased with the results. The pain on my right leg has subsided. It feels like a miracle! My experience has been extremely positive. I credit this to the great effort and expertise of Dr. Barcohana and his entire surgical team. This procedure has given me the ability to continue to maintain a healthier lifestyle. The result of my recent surgery is beyond my expectations. For any future patients that are experiencing decisions about this procedure| I wholeheartedly recommend it. �,5
74,Babak Barcohana| MD,�I would like to say that Dr. Barcohana referred me to Southern California Orthopedic Institute. The service and care they have provided is outstanding| from the staff�s politeness to the professional environment| in which they care for their patients. On a scale from 1 through 10| I would give it a huge 10! Thank you! �,5
