Doctor,Review
Siegfried (Sig) Feierabend| M.D.,“Dr. Feierabend is a great doctor! Makes you feel at ease| Very knowledgeable| Great bedside manner I had a total shoulder with rotator cuff repair. It is coming along great due to the excellent care from Heartland. He will be doing my other Shoulder.”
Thomas E. Dudley| M.D.| Ph.D.,“My appointment was right on time| we discussed pertinent and helpful information. Was very helpful.”
Paul A. Dale| M.D.,“I respect Dr. Dale for his knowledge| expertise| and surgical perfection.”
Siegfried (Sig) Feierabend| M.D.,“Dr. Feierabend was very knowledgeable about my finger condition and with his knowledge it helped me not be as worried about it. I appreciated the time he spent explaining what was going on and what he could do to help.”
Dennis P. Weigel| M.D.,“Dr Weigel was on call when I ripped my shoulder apart. He was very gentle| polite and compatent. He did a very fine job in caring for me| through healing process.”
Eric W. Nelson| M.D.,“I fractured my left patella and severed anterior ligaments in the process. Dr Eric put me back together again. During all my follow-up appt's I received excellent| personalized care---I NEVER felt like just a number. I was very happy with the care I received from Dr Eric.”
Eric W. Nelson| M.D.,“Knowledgable| clear| engaging. Options for knee pain. Cortizone shots in both knees. It worked! Immediate and lasting relief .”
Thomas E. Dudley| M.D.| Ph.D.,“I appreciate all the care and support that I have been given by Dr. Dudley and all of his staff. When I had my bilateral knee replacement at the Douglas County Hospital| the staff there were excellent as well.”
Timothy E. Lindley| M.D.| Ph.D.,“Dr. Lindley did an excellent job. I would rate him five. I have never had such a great Doctor. He did a great job with my surgery. I would recommend him to anyone.”
Timothy E. Lindley| M.D.| Ph.D.,“He and his team have to be one of the best in the state!”
Timothy E. Lindley| M.D.| Ph.D.,“I found Dr Lindley to be very professional and caring. I had a lot of questions and he took the time to answer each and everyone of them. Never making me feel like I was being rushed. I was always so nervous about having any surgery done to my neck| but he assured me he had done this particular surgery many many times. After talking with him I understood exactly what had to be done and scheduled my surgery. Both my surgery and recovery went really well. I did as I was told following Dr's orders to the letter| and this helped my healing immensely.”
Timothy E. Lindley| M.D.| Ph.D.,“Dr. Lindsey went over and beyond helping me with my severe pinched nerve.”
Russell S. Sticha| D.P.M.,“I have been doctoring with my foot/ankle since April| with another foot doctor. My daughter suggested that I should get a second opinion. Since I had knee replacements at your hospital and I am a patient of Dr. Dale| I called for a appointment with your Foot Doctor. What a wonderful Dr. Sticha is| he knew what was wrong with my foot in about 10 minutes| had X-rays that confirmed his diagnosis. Put me in a brace for Adult Aquired Flatfoot. The pain is gone and I am able to go on my walks. God Bless you| Dr. Sticha!!!”
Timothy E. Lindley| M.D.| Ph.D.,“Dr. Lindley did the following things that impressed me and reassured me that he was a good choice as a surgeon. 1. We traveled to Alexandria from Moorhead because he came highly recommended by people I know and other medical professionals. I will also recommend him to others...I already have. 2. He spent TIME with me and my husband explaining the type of surgery I would have done. Dr. Lindley answered our questions and we both felt reassured that this was a good decision. 3. I have had such a good recovery and followed all instructions that he and James Spaeth gave to me upon leaving the hospital. I'm not doing cartwheels but have returned to all activities. 4. I have NO PAIN!! He is an exceptional surgeon. Thank you Dr. Lindley”
Timothy E. Lindley| M.D.| Ph.D.,“Good listener. Patient. Reassuring. Extremely competent.”
Siegfried (Sig) Feierabend| M.D.,“I appreciate so much his candor and sincerity. I believe I can trust him to suggest the best options for me.”
Siegfried (Sig) Feierabend| M.D.,“Exceptional doctor!!!”
James E. Andrews Jr.| D.O.,“great”
Dennis P. Weigel| M.D.,“Everything went perfect with 100% recovery in no time!! Very happy!!”
Dennis P. Weigel| M.D.,“Everything went perfect with 100% recovery in no time!! Very happy!!”
James E. Andrews Jr.| D.O.,“Good advice and counseling for a bad knee. Appreciate advice to do surgery only when absolutely necessary!”
James E. Andrews Jr.| D.O.,“Good advice and counseling for a bad knee. Appreciate advice to do surgery only when absolutely necessary!”
James E. Andrews Jr.| D.O.,“He listens to me and explains procedures well. He is also likeable”
Paul A. Dale| M.D.,“My experience from my knee surgery at Heartland Orthopedics went "great" from the start. From my first appointment with Dr. Dale to my 12 week check-up with him. The staff at both Heartland Orthopedic Specialists and during my 3 day stay at Alomere Health were all "very professional". Could not have asked for better care from the entire group. Nice to have such an excellent facility so close to home!!”
James E. Andrews Jr.| D.O.,“I have lower back problems and have several epidural shots overt the last few years from Dr. Andrews. He is always professional. He is always looking for a way to ease my problem. The staff at the hospital has always been very professional and let you know what is happening. All are very caring people. I have often told people about my outstanding treatment and recommended Heartland| Douglas Co Hospital and Dr. Andrews. Thank you very much.”
Dennis P. Weigel| M.D.,“Dr. Weigel was on call when I was referred to Heartland Orthopedic Clinic for a knee problem| Friday| June 3rd. Professional| knowledgeable| courteous| concerned| personable| are the words that come to mind when I think of Dr. Weigel and his team. I could not have been in more capable hands. Tuesday and Thursday the following week| Dr. Weigel performed extremely successful surgeries to clean up a staph infection in my knee. FYI: The origin of the infection was not a knee replacement or other clinic/hospital related event. I have found my orthopedic specialist for any future need.”
Dennis P. Weigel| M.D.,“I needed to have shoulder surgery and Dr. Wiegel told me what he had to do and what I should expect on recovery.”
Thomas E. Dudley| M.D.| Ph.D.,“All my experiences with Heartland Orthopedic Specialists and Alomere Health have been extremely satisfactory. Everyone I saw at both places was helpful| kind and caring. I had double knee replacement at Dr. Dudley's suggestion and am so glad I did it that way. Dr. Dudley did one knee while Dr. Dale did the other| so I didn't have to be in surgery for an extended amount of time. The surgery wasn't a "horrible" experience| but I am glad I only had to do it once! I would--and have--recommended Heartland Orthopedic Specialists and Douglas Co. Hospital to others.”
Paul A. Dale| M.D.,“I had limited expectations. I needed the hip pain to go away. Guess what it is gone and I am forever grateful. I am having a new experience every day. I have Freedom from Pain.”
Eric W. Nelson| M.D.,“Dr. Nelson has repaired numerous arthritic joints for me. I have always found him to be professional| competent and caring. He suggests surgery as the last resort and actively tries to find non-evasive solutions. I have had very little pain from his procedures and his "seamstress" abilities have left me with minimal scarring. He is a great addition to the heartland facility and I have| and will continue to recommend him to others. ps. The entire staff of heartland| from the doctors| therapists| hospital staff etc have been outstanding.”
Paul A. Dale| M.D.,“Again I felt very confident having Dr. Dale do my knee replacement surgery. His help and encouragement both before and after surgery meant a lot to me. He knew I would be happy to hear I could return to therapy in the Grand Arbor pool!”
Paul A. Dale| M.D.,“Dr. Dale replaced my knee in February 2015. After faithfully following my physical therapy| I have no further pain. In fact| my new knee works better than the original one that is still in the other leg. I am so very happy that I came to Heartland Orthopedic Specialists and had my knee replaced!”
Paul A. Dale| M.D.,“My experience with Heartland Orthopedic Specialists was very good/excellent. Our community can be very proud of our medical facilities that we have here in Alexandria| along with the medical staff that provide excellent care. I had knee surgery done and had wonderful care from all the doctors and nursing staff at the hospital....and the good food that we had each day too.”
Russell S. Sticha| D.P.M.,“I was very pleased with Heartland Orthopedic Specialists – I was able to see a doctor quickly| appointment was on time and doctor diagnosed problem immediately. The doctor was also very informative and assured me to return if there were future problems.”
Dennis P. Weigel| M.D.,“We both have had knee replacements and George a hip replacement of which are very pleased with and would highly recommend Heartland Orthopedic Specialists. Shirley had Doctor Brand years back when broke my arm and that too was a success still wearing the pins put in. The therapy we both have received too was well worth it. ”
Thomas E. Dudley| M.D.| Ph.D.,“Everyone was wonderful| starting with the admitting through my discharge. I can not say enough about the wonderful care through the process of my second knee replacement. The first knee replacement was the previous year and it went so well and again the great care of everyone| made it very easy to decide to do the second a year later on 2-4-16. It was amazing to stand the first time after surgery and have no pain like I had been having before the surgery. Of course I was given medications for the pain that I could have and I am sure the nerve block helped as well| but through my whole recovery I honestly can say I have had very little pain| mostly just some stiffness that the exercises help with. Thank you so much for taking care of me!”
Paul A. Dale| M.D.,“Hip replacement very well. Very pleased. From start to finish| they informed me of everything that was going on. Surgery went well| therapy| and follow up visits.”
Paul A. Dale| M.D.,“The nurse and Dr. Dale were both very friendly and made me feel very comfortable. I was happy to be able to schedule my second knee replacement surgery and make the necessary arrangements.”
Eric W. Nelson| M.D.,“Having moved to Alexandria 6 years ago| I have become Dr. Eric Nelson's "poster child". Arthritis has taken its toll and he has replaced a knee| a hip| and a shoulder for me. He will do the other shoulder the end of April. I have found Dr. Nelson and the orthopedic staff to be friendly| competent| and caring...take it from me... I should know!!! Dr. Nelson looks for other methods of relief before surgery. He encourages one to seek alternate methods if one can find relief. He uses surgery as the method of last resort. I have encouraged others to see Dr. Nelson. Heartland clinic is a major economic development boon to Alexandria. Keep up the good work!!”
Paul A. Dale| M.D.,“Very satisfied with Dr. Dale and Heartland Orthopedic Specialists as well. Very impressive program before| during hospital stay and post op care. In need of another surgery and plan to come there again.”
Paul A. Dale| M.D.,“My questions were always answered. The hip surgery was completed and the therapy was very helpful. I was so pleased that coaches were allowed in and shown how to help the patient.”
Eric W. Nelson| M.D.,“On December 3| 2015 I fell just outside my door at home. I damaged my left rotator cuff which required surgery. Dr. Nelson showed great concern over my problem. He kept my daughter informed about the surgery and after the surgery was completed. He also showed compassion during my one-month check-up with him.”
Dennis P. Weigel| M.D.,“He was absolutely wonderful. His visits were non rushed with answering all questions I had. More importantly had a smile on his face and very pleasant bedside manner.”
Eric W. Nelson| M.D.,“Great experience| excellent Doctor. Will have services if needed any time here. Everyone from front desk to all staff great job.”
Eric W. Nelson| M.D.,“I had X-rays on both of my thumbs and they both showed extreme rheumatism. He gave me cortisone shots in both thumbs and they have been doing really well! Thanks to Dr. Nelson!”
Jefferson C. Brand| M.D.,“Rotator cuff repair. Very good follow up very good.”
Dennis P. Weigel| M.D.,“Very informative about health issue I have. Willing to answer all the questions that I had. Pleasant to talk to.”
Paul A. Dale| M.D.,“When I found I would need reversed shoulder replacement| I was given the choice to see Dr. Dale or go to the cities. I decided to visit with Dr. Dale first. He was very thorough from examination to a complete explanation of the surgery and what was to follow| even to the detail of bringing an extra pillow along to assist in my ride home from the hospital. I felt totally comfortable with Dr. Dale and said this was where I should be. He continues to be thorough and caring about my care and recovery. I am so thankful I decided to stay with my local hospital and doctor. I believe I got more personal care than I might have gotten in a larger facility.”
Russell S. Sticha| D.P.M.,“I have had very positive experiences with Heartland specifically Dr. Sticha. The entire staff treated me with kindness and professionalism when I had surgery on my left foot (5th metatarsal) and my triple ankle fracture on the right side. Surgery is never a pleasant experience but the Heartland staff answered my questions or concerns| handled me with kid gloves and gave me excellent care. It is a well-run office as I never had any trouble getting into to see the doctor and there was virtually no wait time once I checked in. Dr Sticha even came out to talk to me after I had left his office when I remembered I had another question. My ankle was broken in Arizona and the flight home to have Dr. Sticha perform the surgery was worth the discomfort and effort. I wanted the surgery to be in Alexandria with Sticha and it worked out well for me. I would recommend Heartland to anyone. Thanks.”
Russell S. Sticha| D.P.M.,“After almost two years| one previous surgery from another provider and visits with multiple doctors I had lost hope. I couldn't fathom living with the pain I had been experiencing the last two years for the rest of my life. Then I met Dr. Sticha and the staff at heartland orthopedic specialists. These folks are amazing! Turned my life around! The most knowledgeable| friendly| helpful| dedicated and talented medical professionals I have ever been treated by. Dr. Sticha is a superhero in my book!”
James E. Andrews Jr.| D.O.,“VERY good Doctor with best results I've gotten so far! I appreciate the way he listened and made a decision that gave me relief and possibly a long-term solution.”
Thomas E. Dudley| M.D.| Ph.D.,“I had been experiencing severe pain in my right knee for many year. Finally| a little over a year ago my primary Doctor asked me if I wanted to be referred to an Orthopedic Doctor| it was agreed and then I was asked where I wanted to be referred to| I said Heartland as I knew several people who had replacements there| with good experiences. One year ago I had my right knee replaced| this year I had my left knee replaced| both experiences were very good.”
Paul A. Dale| M.D.,“Everyone I talked to recommended I come to Alomere Health for my hip replacement surgery because everyone here is so professional. I found that to be true. The care I received after the surgery was exceptional. The nurses who got me up and walked with me immediately after surgery could not have been better. The surgeon did an excellent job. I would highly recommend this place.”
Eric W. Nelson| M.D.,“I felt totally confident and safe with my doctor that he was doing what was best for me. Everyone treated me with respect and kindness and gave me the best care I could of ever wanted.”
Dennis P. Weigel| M.D.,“I couldn't have had better care anywhere else. My doctor and the surgery rehab staff are terrific. Thank all so much.”
Paul A. Dale| M.D.,“Dr. Dale has replaced both of my hips and now one of my knees| and he has always been very kind and explained everything before and after the surgery| so I always knew what to expect.”
Dennis P. Weigel| M.D.,“I have nothing but praise for both Dr. Weigel and the entire staff of Heartland Orthopedic Specialists. I have been a patient for my feet| both shoulders for rotator cuff surgery| and my most recent a total knee replacement| which I am in the process of recovering from. It is great to have this kind of facility in Alexandria and to have the great doctors here to handle all of the issues that can come up.”
Dennis P. Weigel| M.D.,“Doctor has always given me his educated options| and I have never felt pressured into surgery. He also discouraged me from surgery once when he thought it was not needed. Had me try another option and it worked well. Also have had surgery on my feet by another doctor at Heartland Orthopedic Specialists| and he was very good| and I got a good result.”
Thomas E. Dudley| M.D.| Ph.D.,“I saw Dr. Dudley in May| and it was determined that I needed trigger finger release surgery for BOTH of my thumbs. The staff in Alexandria was very helpful for me to determine if I should do both surgeries at once considering my high deductible insurance. I opted to do both at the same time| and I was very glad that I did| the surgeries took care of the problem| and I was glad to have my recuperating time cut in half by taking care of both hands at one time. Little did I know that I would have ANOTHER trigger finger! So| back I went| and I just had the third surgery now in November. I was able to get my surgery scheduled quickly and make the follow-up appointments before we leave for Florida in January.”
James E. Andrews Jr.| D.O.,“He has been the best since day one wouldn't go to anyone else. Listens and answers my question whether bad or good. Let's me know my options.”
Eric W. Nelson| M.D.,“From the first meeting with Dr. Nelson and into postsurgery| we have been impressed with the entire process. All appointments were completed in a timely fashion. Preoperative instructions from the manual to the meeting were informative and very helpful. The check in was seamless. Postoperative was handled efficiently and with care. Hats off to the entire staff for creating an almost pleasant experience. My recovery has gone according to the book| due in large part to my wife. She is a physical therapist. That's the good news. The bad news is that she is a physical therapist! But we managed to get through the tough parts with little yelling| and we are still together. I would recommend your organization.”
Russell S. Sticha| D.P.M.,“I got right in on time. They were courteous and gave a good explanation of problem and treatment.”
Eric W. Nelson| M.D.,“I had constant pain in both my shoulders. I was referred to Heartland Orthopedic Specialists for shoulder replacement surgery. Dr. Nelson was my surgeon. Now| I don't have any pain and they feel great. I'm back to work now and don't have any problems. I would recommend Heartland Orthopedic Specialists and Dr. Nelson to anyone who has shoulder pain. It was a great experience for me. Everybody at Heartland Orthopedic Specialists is very nice and friendly. I would do it again. Thanks Heartland Orthopedic Specialists and Dr. Nelson.”
Thomas E. Dudley| M.D.| Ph.D.,“I made a career change 4 years ago to a more limited and flexible schedule to provide time for my passion| downhill skiing. Unfortunately| a year ago| knee pain was a part of my ski routine. The pain was not unbearable but enough to influence where I would ski and made the experience not what it should be. I had both knees scoped| meniscus surgery tx last fall| and I now ski 4-5 days a week at the "Biggest Skiing in America-Big Sky| MT.” I am a mountain host/guide 2-3 days a week and give tours on the mountain to intermediate or higher level skiers. I also just finished a "master of the mountain " course offered by the ski school to advance my ski skills| where we covered difficult terrain and skied off the top of the mountain at 11|106 feet with a 4000-foot vertical drop. The goods news| I have been able to ski more difficult terrain| pain free. Sometimes| orthopedic care doesn't involve a major ligament tear or trauma but things just need tweaking to allow a person to enjoy their passion for athletic sport. Keep up the good work at Heartland Orthopedic Specialists. Enjoying the ski season at Big Sky Montana.”
Thomas E. Dudley| M.D.| Ph.D.,“I scheduled a knee replacement to be done on Oct. 15| 2013. I had a knee replacement done on my other knee nine years before. I had had a very easy recovery that time and was told that I could consider myself a poster child for knee replacement. I was a little nervous about this one| now being in my later 50's. Dr. Dudley said that he and his team would do their best for me. That they did! Not only very little pain| I walked with a walker that evening| and without crutches 8 days later. I surprised my therapist by being able to go all the way around on the stationary bicycle at my first rehab therapy visit 6 days after surgery. The team I had was very professional and reassuring. They made my first appointment for rehab| which was very nice as I had to make my own the first time and was told I had to wait. I am looking at having some new parts for my first replacement replaced and would not consider having anyone else. On a scale of 1-10 with 10 being the best| Dr. Dudley and his team receive an 11. Thank you!”
Paul A. Dale| M.D.,“This is my second joint replacement in 10 years. Dr. Dale performed each replacement. The first was a hip replacement in 2003 and the second was a total knee at Thanksgiving of 2013 and it was a great way to get out of cooking Thanksgiving dinner! Your staff and facilities are top of the line. Dr. Dale is a wonderful and very personable surgeon! I recommend Heartland Orthopedic Specialists to everyone I know! I recently had a nurse who works at a therapy care center tell me that they can always tell which patients had surgery at your facility and those who do not. "When they come from Heartland| they WALK in. When they come from somewhere else| they come in a wheelchair!” All of you should be proud of your record! It's been two months and I'm back to normal!”
Paul A. Dale| M.D.,“Osteoarthritis hurts! It changes your life by preventing you from enjoying activities you have done all your life. The pain becomes constant and you can't remember taking a walk with out pain. Dr. Kennedy was the first to inject my knee with cortisone. I always told him he worked magic. I would go about 6 months pain free. In 2006| I took a trip to China. Twice| while site seeing| I had to pay someone to push me in a wheel chair and I wrapped my knee in a heating pad at night. That's when I made the decision to have my total joint replacement. It truly is a miracle. I tell people it's like being "born again." Dr. Dale did a great job. I must give Lance the credit for keeping me mobile these days. My left knee has deteriorated and needs replacement| but I haven't had the time to take for the recuperation. It truly does take two months to get back from surgery. Lance is a great care provider. He explains everything| never makes you feel rushed| and gives the injection like a pro. I always highly recommend Heartland Orthopedic Specialists and have referred numerous people to Dr. Dale and Lance.”
Paul A. Dale| M.D.,“"Dr. Dale has fixed my shoulders and more recently removed the pain I had with a problem with my hip. I am so thankful for him. My shoulders were so painful that I couldn't even wear my coat. I had to get something lightweight to wear until he fixed them. I am so thankful. I tell everyone who asks me about my surgeries how they helped. I am so thankful for Dr. Dale." -- Dorthy K.”
Dennis P. Weigel| M.D.,“"I went to what was my final follow up after what I consider to be my quickest recovery of any of my previous surgeries. Dr. Weigel was amazing. He always made me feel like I was his only patient. He made sure all my questions were answered before the appointment was done. Thanks to all at Heartland Orthopedic Specialists!" -- Tom D.”
Dennis P. Weigel| M.D.,“"I was having serious pain in my right shoulder. Dr. Weigel replaced my left hip seven years ago. I went to him to see what my shoulder problem may be. Testing showed a torn rotator cuff and a torn bicep tendon. My hip replacement has been so good that I had confidence Dr. Weigel could restore the use of my shoulder. The surgery went well. I've started rehab and am having great results. I'm excited to see the use of my shoulder coming back to me! Thank you| Dr. Weigel and the whole Heartland Orthopedic Specialists staff!" -- Ray S.”
Eric W. Nelson| M.D.,“"I was having carpal tunnel issues. Dr. Nelson took great care of me through the entire process. He fixed me up and I was good as new within minutes after my surgery. Three days after my surgery| I started using my hand and began to regain strength right away. I was glad I didn't have to wait forever to use my hand again. I didn't have to take any time off of work. It’s been a little over a month and my hand feels amazing. The strength is getting better each day." -- Ashley N.”
Jefferson C. Brand| M.D.,“I went in to get my shoulder checked out at 9:30 am and had surgery at 4:00 pm. I had excellent and professional service. Thank You Dr. Brand and your staff.”
Thomas E. Dudley| M.D.| Ph.D.,“"I came to see Dr. Dudley with a long-standing compensation case for my left knee. I realize that I will need a knee replacement in the future. Since we just moved into this area| I decided to find a doctor that would be able to do this when I was ready. Dr. Dudley was very professional and upfront with me| indicating what my choices are and what time frame I have to work with. I appreciated his candor." -- Harry M.”
Paul A. Dale| M.D.,“"The nurses and aides at Heartland Orthopedic Specialists are consistently pleasant and welcoming. Dr. Dale has been my physician for five years. He has performed a hip replacement| given me cortisone injections for arthritis problems in my left hand| referred me for spinal surgery| and appropriate rehabilitation on a torn shoulder. He is always interested| helpful| patient| and kind. I never feel rushed at Heartland Orthopedic Specialists and always appreciate the service they provide." -- Jane B.”
Thomas E. Dudley| M.D.| Ph.D.,“"Dr. Dudley is a warm and knowledgeable surgeon. His confident and caring approach to my need for hip and knee surgery gave me the courage to go ahead with my hip surgery first. The results have been outstanding. My X-rays confirm in detail the exceptional surgical skills of Dr. Dudley. I will be scheduling knee surgery in the coming months. Thank you Dr. Dudley and staff." -- Jim D.”
Thomas E. Dudley| M.D.| Ph.D.,“"Heartland Orthopedic Specialists is great! I made an appointment in May with Dr. Dudley| after my knees had been hurting for the past two years after walking a mile| and after an MRI he found a medial meniscus tear in my left knee. Surgery was done the end of June| which went great| and physical therapy started. After three weeks I was back to my nightly three mile walk without any pain| and almost six weeks later I was back to my 10 mile nightly bike ride| after my walk. So great to peddle a bike again| without pain in my knee. I would refer Heartland Orthopedic Specialists to anyone who asks| and have been telling people that if they have problems| make an appointment. Everyone is great there| from the front desk| to the nurses| to the doctors. They are all so friendly and they really care about you. I hope I never have to use them again| but if I do| that's where I'm going. Thank you all for the awesome care you gave me!!!" -- Shirley D.”
Russell S. Sticha| D.P.M.,“"I made an appointment to find out about pain I was experiencing in my ankle. I thought perhaps it was coming from the bunion that had been changing over several years. I had heard good things about Dr. Sticha| but had never met him. What I liked the best about him was that he was straight-forward| told me what the problem was| and that it might help to have sole supports in my shoes. He wrote up the prescription for them and I was done. No mess| no fuss. That's the way I like it!!!! Thank you and I would definitely return if I have any other orthopedic issues." -- Diane A.”
Dennis P. Weigel| M.D.,“"My shoulder surgery went well. The constant pain is gone| and I'm currently working on building up enough strength in my shoulder and arm to go bow hunting later this fall." -- Randy B.”
Dennis P. Weigel| M.D.,“"Because of Dr. Weigel I can garden like a mad woman!" -- Jenny N.”
Dennis P. Weigel| M.D.,“"I am currently doing physical therapy at Heartland following shoulder surgery. The surgery by Dr. Weigel went great| and the people over in the PT unit are wonderful. My recovery is going better than expected| and I hope to be back to full strength soon." --Tom D.”
Russell S. Sticha| D.P.M.,“" My overall experience was great. I was well taken care of. I always felt like I was important and that they wanted to know how things were progressing with my injury. I am very thankful for the care." --Amy H.”
Dennis P. Weigel| M.D.,“"I had my surgery on March 5 and I am eagerly awaiting my first follow up with Dr. Weigel. The whole staff has made this experience as good as it can be." -- Tom D.”
Thomas E. Dudley| M.D.| Ph.D.,“"The folks at Heartland Orthopedics were absolutely fantastic. From the receptionist to the physical therapists to Dr. Dudley| I felt safe| cared for| and always in good hands while in their care. I was told to expect a four to six month recovery| but was back to my very physical job as a sanitation worker in only three months. Thanks to Dianne and Meagan for being ever so tough| but ever so diligent to get the most out of me. With their hard work| my wife's advice on nutrition and supplements| and a determination not to let this injury hold me back I am 100% recovered." -- David O.”
Russell S. Sticha| D.P.M.,“"Everyone seemed very competent at my first visit| especially Dr. Sticha. My surgery went well| my pain was managed| especially staying ahead of it| proved to be best! I especially appreciated calls I was able to make with another patient| with same surgery only two weeks earlier. It was ALOT more major than I had expected| recovery time longer| but in the end I feel blessed to have competent professional staff through my whole experience." -- Sally B.”
Paul A. Dale| M.D.,“"I find the doctor that did my knee replacement was very good. I have been taking therapy here at Elbow Lake Clinic and I find that everyday is an improvement for me. the nursing staff also has to have many thanks for a wonderful job that they did for me. Everyone was very friendly and helpful for me when I was in the hospital." -- Richard L.”
